STT,Tên Công trình,Giá trị Dự toán,Giá trị Q.định phê duyệt QT công trình
II,SCL Đường dây và trạm biến áp năm 2026,0,0
1,Chi phí thiết bị,10205102362,0
1.1,VT A cấp,10205102362,0
1.2,"Chi phí thí nghiệm, hiệu chỉnh",0,0
2,Chi phí vật tư,0,0
3,Chi phí sửa chữa,945035346,0
4,Chi phí khác,804995396,0
5,Chi phí dự phòng,597756655,0
6,VTTH,0,0
7,Giá trị trước thuế,12552889759,0
8,Thuế GTGT,1004231181,0
I,"Sửa chữa lớn TSCĐ _TU,TI",13650000000,0
1,Chi phí thiết bị,13000351762,0
1.1,VT A cấp,11705488281,0
1.2,"Chi phí thí nghiệm, hiệu chỉnh",1294863481,0
2,Chi phí vật tư,0,0
3,Chi phí sửa chữa,0,0
4,Chi phí khác,0,0
5,Chi phí dự phòng,650017588,0
6,VTTH,2191,0
7,Giá trị trước thuế,13650367159,0
8,Thuế GTGT,1092029373,0
III,SCL Công Xa Công ty Điện lực Vũng Tàu 2026,0,0
A,"CHI PHÍ VẬT TƯ, THIẾT BỊ (sau thuế)",0,0
A.1,Chi phí thiết bị,0,0
A.1.1,Thiết bị nhập khẩu,0,0
A.1.2,VT A cấp,0,0
A.1.3,"Chi phí tháo dỡ, lắp đặt",0,0
A.1.4,"Chi phí thí nghiệm, hiệu chỉnh",0,0
A.2,Chi phí vật tư,0,0
A.3,Thuế GTGT,0,0
B,CHI PHÍ SỬA CHỮA,538701840,0
B.1,Chi phí vật liệu,498798000,0
B.1.1,Vật liệu phần không áp dụng đơn giá XDCB,498798000,0
B.1.2,Vật liệu phần áp dụng đơn giá XDCB,0,0
B.1.3,Chênh lệch giá vật liệu phần áp dụng đơn giá XDCB,0,0
B.1.4,Vật liệu phụ trong SCL thiết bị,0,0
B.2,Chi phí nhân công,0,0
B.2.1,Chi phí nhân công phần không áp dụng đơn giá XDCB,0,0
B.2.2,Chi phí nhân công phần áp dụng đơn giá XDCB,0,0
B.3,Chi phí máy thi công,0,0
B.3.1,Chi phí máy thi công phần không áp dụng đơn giá XDCB,0,0
B.3.2,Chi phí máy thi công phần áp dụng đơn giá XDCB,0,0
B.4,"Chi phí làm đêm, làm thêm giờ",0,0
B.5,Chi phí chung,0,0
B.6,Thu nhập chịu thuế tính trước,0,0
B.7,Giá trị sửa chữa trước thuế,498798000,0
B.8,Thuế GTGT,39903840,0
C,CHI PHÍ KHÁC (sau thuế),0,0
C.1,Chi phí giám sát thi công xây dựng,0,0
C.2,Chi phí giám sát lắp đặt thiết bị,0,0
C.3,Chi phí bảo hiểm công trình,0,0
C.4,Chi phí thẩm tra - phê duyệt quyết toán,0,0
C.5,Vận chuyển VTTB A cấp đến công trường,0,0
C.6,Thuế GTGT,0,0
D,CHI PHÍ DỰ PHÒNG,24939900,0
E,Tổng giá trị trước thuế,563641740,0
E.1,Tổng giá trị thuế GTGT,523737900,0
E.2,Tổng giá trị sau thuế,39903840,0
F,GIÁ TRỊ VẬT TƯ THU HỒI,0,0
SCL,CHI PHÍ SCL,563641740,0
