STT,Tên Công trình,Giá trị Dự toán
II,SCL Đường dây và trạm biến áp năm 2026,0
A,"CHI PHÍ VẬT TƯ, THIẾT BỊ (sau thuế)",11225612598
A.1,Chi phí thiết bị,10205102362
A.1.1,Thiết bị nhập khẩu,0
A.1.2,VT A cấp,10205102362
A.1.3,"Chi phí tháo dỡ, lắp đặt",0
A.1.4,"Chi phí thí nghiệm, hiệu chỉnh",0
A.2,Chi phí vật tư,0
A.3,Thuế GTGT,1020510236
B,CHI PHÍ SỬA CHỮA,1020638174
B.1,Chi phí vật liệu,945035346
B.1.1,Vật liệu phần không áp dụng đơn giá XDCB,945035346
B.1.2,Vật liệu phần áp dụng đơn giá XDCB,0
B.1.3,Chênh lệch giá vật liệu phần áp dụng đơn giá XDCB,0
B.1.4,Vật liệu phụ trong SCL thiết bị,0
B.2,Chi phí nhân công,0
B.2.1,Chi phí nhân công phần không áp dụng đơn giá XDCB,0
B.2.2,Chi phí nhân công phần áp dụng đơn giá XDCB,0
B.3,Chi phí máy thi công,0
B.3.1,Chi phí máy thi công phần không áp dụng đơn giá XDCB,0
B.3.2,Chi phí máy thi công phần áp dụng đơn giá XDCB,0
B.4,"Chi phí làm đêm, làm thêm giờ",0
B.5,Chi phí chung,0
B.6,Thu nhập chịu thuế tính trước,0
B.7,Giá trị sửa chữa trước thuế,945035346
B.8,Thuế GTGT,75602828
C,CHI PHÍ KHÁC (sau thuế),869395028
C.1,Chi phí giám sát thi công xây dựng,804995396
C.2,Chi phí giám sát lắp đặt thiết bị,0
C.3,Chi phí bảo hiểm công trình,0
C.4,Chi phí thẩm tra - phê duyệt quyết toán,0
C.5,Vận chuyển VTTB A cấp đến công trường,0
C.6,Thuế GTGT,64399632
D,CHI PHÍ DỰ PHÒNG,597756655
E,Tổng giá trị trước thuế,13713402455
E.1,Tổng giá trị thuế GTGT,12552889759
E.2,Tổng giá trị sau thuế,1160512696
F,GIÁ TRỊ VẬT TƯ THU HỒI,0
SCL,CHI PHÍ SCL,13713402455
I,"Sửa chữa lớn TSCĐ _TU,TI",13650000000
A,"CHI PHÍ VẬT TƯ, THIẾT BỊ (sau thuế)",12876037109
A.1,Chi phí thiết bị,11705488281
A.1.1,Thiết bị nhập khẩu,0
A.1.2,VT A cấp,11705488281
A.1.3,"Chi phí tháo dỡ, lắp đặt",0
A.1.4,"Chi phí thí nghiệm, hiệu chỉnh",1294863481
A.2,Chi phí vật tư,0
A.3,Thuế GTGT,1170548828
B,CHI PHÍ SỬA CHỮA,0
B.1,Chi phí vật liệu,0
B.1.1,Vật liệu phần không áp dụng đơn giá XDCB,0
B.1.2,Vật liệu phần áp dụng đơn giá XDCB,0
B.1.3,Chênh lệch giá vật liệu phần áp dụng đơn giá XDCB,0
B.1.4,Vật liệu phụ trong SCL thiết bị,0
B.2,Chi phí nhân công,0
B.2.1,Chi phí nhân công phần không áp dụng đơn giá XDCB,0
B.2.2,Chi phí nhân công phần áp dụng đơn giá XDCB,0
B.3,Chi phí máy thi công,0
B.3.1,Chi phí máy thi công phần không áp dụng đơn giá XDCB,0
B.3.2,Chi phí máy thi công phần áp dụng đơn giá XDCB,0
B.4,"Chi phí làm đêm, làm thêm giờ",0
B.5,Chi phí chung,0
B.6,Thu nhập chịu thuế tính trước,0
B.7,Giá trị sửa chữa trước thuế,0
B.8,Thuế GTGT,0
C,CHI PHÍ KHÁC (sau thuế),0
C.1,Chi phí giám sát thi công xây dựng,0
C.2,Chi phí giám sát lắp đặt thiết bị,0
C.3,Chi phí bảo hiểm công trình,0
C.4,Chi phí thẩm tra - phê duyệt quyết toán,0
C.5,Vận chuyển VTTB A cấp đến công trường,0
C.6,Thuế GTGT,0
D,CHI PHÍ DỰ PHÒNG,650017588
E,Tổng giá trị trước thuế,13526054697
E.1,Tổng giá trị thuế GTGT,12355505869
E.2,Tổng giá trị sau thuế,1170548828
F,GIÁ TRỊ VẬT TƯ THU HỒI,2191
SCL,CHI PHÍ SCL,13526052506
III,SCL Công Xa Công ty Điện lực Vũng Tàu 2026,0
A,"CHI PHÍ VẬT TƯ, THIẾT BỊ (sau thuế)",0
A.1,Chi phí thiết bị,0
A.1.1,Thiết bị nhập khẩu,0
A.1.2,VT A cấp,0
A.1.3,"Chi phí tháo dỡ, lắp đặt",0
A.1.4,"Chi phí thí nghiệm, hiệu chỉnh",0
A.2,Chi phí vật tư,0
A.3,Thuế GTGT,0
B,CHI PHÍ SỬA CHỮA,538701840
B.1,Chi phí vật liệu,498798000
B.1.1,Vật liệu phần không áp dụng đơn giá XDCB,498798000
